1,1,1
0.86331,0.93109,0.96863
0.72661,0.86218,0.93725
0.58992,0.79328,0.90588
0.45322,0.72437,0.87451
0.31653,0.65546,0.84314
0.17983,0.58655,0.81176
0.043137,0.51765,0.78039
0.13012,0.5615,0.70945
0.21711,0.60535,0.6385
0.3041,0.6492,0.56756
0.39109,0.69305,0.49661
0.47807,0.7369,0.42567
0.56506,0.78075,0.35472
0.65205,0.8246,0.28378
0.73904,0.86845,0.21283
0.82602,0.9123,0.14189
0.91301,0.95615,0.070945
1,1,0
1,0.92308,0
1,0.84615,0
1,0.76923,0
1,0.69231,0
1,0.61538,0
1,0.53846,0
1,0.46154,0
1,0.38462,0
1,0.30769,0
1,0.23077,0
1,0.15385,0
1,0.076923,0
1,0,0
0.96875,0,0
0.9375,0,0
0.90625,0,0
0.875,0,0
0.84375,0,0
0.8125,0,0
0.78125,0,0
0.75,0,0
0.71875,0,0
0.6875,0,0
0.65625,0,0
0.625,0,0
0.59375,0,0
0.5625,0,0
0.53125,0,0
0.5,0,0
0.46875,0,0
0.4375,0,0
0.40625,0,0
0.375,0,0
0.34375,0,0
0.3125,0,0
0.28125,0,0
0.25,0,0
0.21875,0,0
0.1875,0,0
0.15625,0,0
0.125,0,0
0.09375,0,0
0.0625,0,0
0.03125,0,0
0,0,0
